R G B Red Orange Brown Yellow Green Blue Purple Pink White Grey Black
163 74 86 6.7 0 3 0 0 0 0.2 0.1 0 0 0
202 80 91 9.25 0.05 0.35 0 0 0 0.05 0.3 0 0 0
217 83 112 2.75 0 0 0 0 0 0.25 7 0 0 0
226 119 134 2.55 0 0 0 0 0 0 7.45 0 0 0
230 173 170 1.1 0.25 0.65 0 0 0 0 8 0 0 0
234 201 197 0.5 0.15 1.3 0 0 0 0 8.05 0 0 0
231 227 222 0 0 3.2 0.3 0.1 0 0 0 0.9 5.5 0
164 80 72 2.85 0.1 7.05 0 0 0 0 0 0 0 0
203 80 78 8.6 0 1.4 0 0 0 0 0 0 0 0
220 105 91 7.1 2.35 0.2 0 0 0 0 0.35 0 0 0
221 123 125 4.1 0.3 0 0 0 0 0 5.6 0 0 0
231 172 164 0.75 0.65 0.5 0 0 0 0 8.1 0 0 0
234 201 193 0 0.1 1.45 0 0 0 0 8.35 0 0.1 0
231 227 221 0 0.15 2.55 0.2 0.25 0 0 0 0.7 6.15 0
163 81 67 2.05 0 7.95 0 0 0 0 0 0 0 0
203 85 70 7.55 0.85 1.6 0 0 0 0 0 0 0 0
219 90 74 8.4 1.35 0.25 0 0 0 0 0 0 0 0
227 128 93 1.65 7.7 0.25 0 0 0 0 0.4 0 0 0
230 168 151 0.65 2.35 1.1 0 0 0 0 5.9 0 0 0
239 199 185 0 0.6 1.05 0 0 0 0 8.35 0 0 0
